Q,A
ㄱㅅㅇ교수님수업인데,개꿀
기말 좆된거같은데?,ㅖ?
기모맨투맨 더울까?,춥다
뉴랜드빌라 어때요?,깔끔
당첨된 사람 있어?,광탈
또 싸우는가?!!!,그만
목안아픈증상도있음?,가끔
뭐뭐하고 끝났나요?,사격
보통 얼마나 써 ?,50
서울에서 출발하는데,조금
수치해석과제하신분?,포기
아는 사람~~~~~,홈플
아니라고 해줘 제발,맞음
아님 내년에 듣나?,내년
언제인지 아는사람?,18
일주일 관계 몇번?,매일
전공 몇개씩 들어?,6개
중간보단 어려웠는데,9개
지금 뭐하는거임??,뭔데
쪽지좀 주세여 ㅠㅠ,저용
통지서? 같은거??,담날
화학환경관 어디야?,N6
환불은 안되나요??,돼용
24일 오전7시에요?,에?
결석이야? 지각이야?,결석
나가시는 분 있나요?,나?
난 아직 18살..?,19
다니고..싶어..ㅠㅠ,궁금
다들 언제들어갈거야?,토욜
다들 잘 받았어..?,족침
딱 시험기간이던데..,미뤄
메일로 점수 와있어?,안옴
몇번에 한번씩 갈아?,1달
"방학때 하려했는데,,",웅웅
아는사람 답변좀ㅠㅠㅠ,해용
아시는 분 ㅈㅂ ㅜㅜ,공지
오늘 도서관 여나!?,당연
저녁 메뉴 추천 좀요,ㅋ?
책에 답만 써도 됨?,아니
투모어 다니시는분??,많음
패딩은 이제 안입나?,코트
해본 사람 있어???,해봄
공부할 만한 곳 있어?,울집
나는 연습문제 푸는데…,나도
너네 이번꺼 몇장나옴?,1잔
농활 결과 언제 나와?,나옴
다들 분량 어느정도야?,4쪽
둘 중 어떤게 나아요?,종문
듣는 분계신가요...?,네에
몇시까지 하는지 알아?,쿠지
복전했어??심전했어??,복전
사귀는데 얼마나 걸림?,3초
수강 정정 언제 해요?,2일
시험문제 영어루 나옴?,설마
언제 여는지 아는사람?,15
오늘 전화하면 받나요?,에효
오늘수업 비대면 맞죠?,예?
우리학교 군학점 있음?,없음
일요일에도 여는지?,No
전과목 할 일은 없겠지,한개
점수 뜬 사람 없죠??,예예
지금까지 몇번 받아봄?,0번
차끌고다니는분 어때요?,널림
캡디 다들 잘 되가니?,ㅈ망
파워포인트 있지...?,응ㅇ
편입으로 온사람있어??,나용
하 왤케 다 별로같지?,Mj
한자리만 부탁드립니다ㅠ,꺼억
너네 따로 키트해볼거야?,굳이
다들 기요설중간 잘보심?,흐어
도시락 싸와서 먹어두됨?,된뎅
들어가는 3학년있니..?,나아
몇 시까지 쓸 수 있음?,섹시
몇시에 보는지 아시는분?,2시
무슨요일 몇시에 열어??,화욜
뭐 필요함?? 논산임..,멘탈
보통 언제 입금해주나요?,늦게
비대면인거 맞겠지..??,90
씨발 하나남았는데 좆같네,무엇
아무나 도와주실분???ㅠ,먼데
예지관 24시간 하나요?,oo
울학교에서 상위 몇퍼임?,3퍼
일반 / 군 따로따로임?,핑프
탈색하면 머리 겁나빠져?,끊겨
2학기에 진로설계 있나요?,있죠
3일 컷 가능 ?1학년인데,가능
7월에 끝남 6월에끝남??,6월
