Q,A
100원?,ㅠ.ㅠ
100원?,근데 주인 없는 돈이 잖아 ㅠㅠ
100원?,ㅋㅋㅋ 나 이거 유튭 그 호갱구조댄가? 그 사람덕에 배움 ㅋㅋ
100원?,손은 눈보다 빠르다
100원?,어 기사님 앞에 뭐 있는데요?하고 딴데보실때 가져가
100원?,100원으로 뭘 함
100원?,100원 심으면 보물상자가 무럭무럭 자라 날 거야
100원?,"100원이 10개 모이면 1,000원이 되고 1,000원이 10개 모이면 10,000원이 10개 모이면 100,000원이 되고 100,000원이 10개 모이면 1,000,000원이 된다"
100원?,티끌모아 티끌
A가능??,ㅆㄱㄴ
A가능??,다행이다 몇 점 만점이야??
A가능??,엥 진짜?
a못받나?,2결석 하고도 에이플 받아봄
a못받나?,기말고사나 중간고사 수강생 전원 다 잘봐서 컷트 걸리는거 아닌 이상 한두번정도는 괜찮음
a못받나?,ㄴㄴ시험에서 한문제 잘보면됨
B+이야?,A-??
B+이야?,A
B+이야?,에이 재로 말하는고지?
B+이야?,얍
B+이야?,미안한데 비제로 였던건 재수강 불가야?
B+이야?,그럴걸? C부터 되는걸로 알고있어
B+이야?,아 ㅈㅅ 씨쁠부터가 맞음
B+이야?,씨빨이라는 줄
B인가요?,A
B인가요?,아니 a+인데
B인가요?,못해도 b+은 나와야지
B인가요?,이것도 잘나온거아니고 최소 마지노선이 그렇단거
B인가요?,"b+평균, a부터 잘한수준"
pass?,ㅇㅇ맞음
pass?,아하 p가 패스 n/p가 논패스 구나?
pass?,ㅇㅇ 맞앙
s1맞죠?,넵
s1맞죠?,네 정문에서 그냥 쭉 직진
ㄱㅊ음??,사바사 근데 난 추천 안해
ㄱㅊ음??,추천안하시는 이유 있을까요...?????
ㄱㅊ음??,난 좋았음 ???? 추천
ㄱㅊ음??,발표나 토론 많이 하셨나요??
ㄱㅊ음??,각각 한번씩 있었어용
가 뭐야?,사이버한밭
가능..?,3일 합격했는데
가능..?,아뇨 천재말고 일반인이요
가능..?,천재 아니고 가능해요 cbt만 봤어요
가능..?,진쨔용..?믿고 접수합니다.. 근데 보통 접수하고 공부하는거 맞죠?
가능..?,맞아요 저도 접수해놓고 공부했어요 cbt 10년치 답 다 외워버려요
가능..?,후 일단 알겠습니다..??
가능..?,방법만 알면 3~5일 가능
가능..?,유튜브 요약강의 보고 기출 ㅈㄴ돌리면 ㅆㄱㄴ
가능..?,유동균선생님꺼 안봐도돼요?
가능..?,필기면 굳이 싶은데 실기면 닥 유동균이라고 하긴 하더라고요
가능..?,필기는 cbt 실기는 인강 빡시게 집중하면 3주!
가능..?,3주하고 2트
가능..?,3일 쌉가능
가능..?,난 2일만애 함 cbt
가능..?,ㅆㄱㄴ
가능하죠?,캡디를?
개선됐나?,아직
개선됐나?,쒯이네... ㅋㅋㅋㅋㅋㅋ
개선됐나?,그럴리가
개선됐나?,구체적인 건의라도 나온 게 어디냐 확정되도 시간 좀 걸릴거임
개선됐나?,돼
결과나옴?,이미 톡방파진지 오래임
결과나옴?,그래? 몰랐네
결석처리?,국가고시면 공결 될껄
결석처리?,과사에 문의해
결석처리?,1학기때 동기가 그랬는데 공결처리 안해줌
결석처리?,기사 평일에도봄?
결석처리?,실기가 수요일 8시 반인데 9시 수업임 ㅠ
결석처리?,응안돼~ 생리는돼
계신가요?,졸업논문이랑 겹쳐서 시간 너무 애매하더라구요 ㅠㅠ
계신가요?,맞아요 그렇다고 창졸설을 뺄수도 없고..
계신가요?,아뇨 못갔습니다ㅠ
계신가요?,come
계신가요?,카카오톡 오픈채팅을 시작해 보세요.링크를 선택하면 카카오톡이 실행됩니다.물화https://open.kakao.com/o/s0PICobe
계신가요?,여기로 와주세여
계신가요?,저요
계신가요?,몇주차 영상인지는 정확히 기억 안나는데 같은 영상 두 개 올라왔었는데 그 중에 하나 안틀어지던게 있었거든요? 2님도 그러셨나요? 혹시 그거 저만 결석처리 되었나 하고..ㅠㅠ 전체 오류였을까요?
계신가요?,전 그거 그냥 영상 없는 채로 40분 켜놔서 출석 처리 됐던데요...
계신가요?,아..그런 방법이! ㅠㅠ 저는 안그랬어요...
계신가요?,혹시 학점 어떻게 나오셨나요?
계신가요?,비플이에요! 2님은요?
계신가요?,영어회화2가 1학년 2학기꺼임? 말하능겨?
계신가요?,맞아맞앙!
계신가요?,나 결석 1번하고 에이
계신가요?,그렇구나! 1점만 올라가면 A인데 이거 이의신청할지말지 고민이야ㅠㅠ
계신가요?,상대라 너가 올라가면 누군가는 내려와야해서 이의해도 안될걸
계신가요?,맞아 꽉 채우셨으면 그렇겠지
곧개강임?,니 왜 요즘 존버안하냐?
곧개강임?,1학기때 포기하지않는 너를 보면서 힘을 얻었었다고!
곧개강임?,스택깨짐
공결 됨?,ㄴ
공결 됨?,양성 떠야 공결되는거임?;
공결 됨?,검사받는 당일날 혹시 모르니까 수업 안간거 때매 얘기하는 거야
공결 됨?,"내가알기론 안 됨 일단 밀접접촉자가 pcr 의무도 아니고, 3월 14일 이후론 신속항원으로 양성판정임 학교에서 확진자 공결 인정해줄때도 확진안내서를 가지고 인정해주지 양성,음성 진단서로 해주지 않음 이제 pcr은 해주지도 않는데 pcr 음성인걸로 공결 안해줌 다만 교수 재량으로 공결해주는건 예외"
공결 됨?,"단순 밀접도 아니고 동거인인 가족이 확진 판정 받았고, 그 가족이 자택 격리 중인데다가 찾아보니까 나랑 다른 가족들은 음성이었어도 수동감시대상자로 분류되는 상황이던데 그래도 안됨..?"
공결 됨?,2일 됨
공결 됨?,돼 난 했어 과사에 전화해보고 서류 제출해
공결 됨?,Pcr권고여도 동거인 확진이라 검사한건데 당연히 공결 처리 해줘야지
공결 됨?,안해주면 어쩌라는거야 진짜 이해 안된다 검사받고 학교 나오라는건가..? 어이없다
괜찮나요?,저도 막 학기라 걍 재낌
교명바꿈?,딴거아니라 왜 바꿈?
교명바꿈?,걍 대전국립대로 바꾸지..
교명바꿈?,한밭대가 더 유니크하고 좋은뎅
그거알아?,ㅇ
그거알아?,내 방학..
근로뭐임?,그럼 전화를 해봐
근로뭐임?,ㅋㅋㅋㅋㅋㅋ왜 화냄
근로뭐임?,엥 뭔 화
근로뭐임?,신청현황
근로뭐임?,넹
꿀이겠지?,까다로움
꿀이겠지?,둘다 비대면에 패논패 개꿀 ㅋㅋ
꿀이겠지?,그냥 매주 녹강듣고 보고서 대충쓰면 패스임
꿀이겠지?,비대면 인문과 대전은 꿀 중의 꿀임
꿈도못꿈?,구관 2인실 가셈
끝난거지?,사회적 거리두기는 17일까지라고는 하는데 모임 인원제한만 없어지는거지 실내 마스크는 써야됨 ㅋㅋ 실외 마스크 없앨확률은 있는듯
끝난거지?,아니
끝났나요?,점호벌써함?
끝났나요?,점호 끝났다해서 도망감
끝났나요?,부럽네
끝났나요?,ㅋㅋㅋ 10시인줄알고 안갔는데 이미 끝나버림
끝났나요?,ㅋㅋㅋㅋ
나 뭐해?,도서관 가
나 뭐해?,안열려있던데.. ?
나 뭐해?,아 열렸네
나 뭐해?,유성쪽만 다니는 셔틀버스 있고 다른지역 가는 임차버스 있는데 셔틀버스는 여러대 다니는데 임차버스는 아침에한번 저녁에 한번 다녀서 시간 보시고 잘 타야돼요
나 뭐해?,학교 홈페이지에서 학교생활-통학정보 가시면 잘 나와있어요
나 뭐해?,지금은 뭐해?
나 뭐해?,쉅 끝나고 집가려는데
나 뭐해?,수업이 오전에 있었어?
나 뭐해?,늦게 가면 학식 같이 먹을까했는데
나 뭐해?,엉
나 뭐해?,담에 같이 먹자
나 뭐해?,그래 좋아
나 ㅈ됨?,기말에백점맞으면 소생가능
나 ㅈ됨?,백점을 어떻게...
나 ㅈ됨?,답 나왔어…?
나 ㅈ됨?,ㄴㄴ 느낌상
나 ㅈ됨?,같이 재수강 ㄱ
나 ㅈ됨?,오케이 확인
나만그럼?,부엉이는 오후가 편해 레후
나만그럼?,대면엔 좋지않아
나만그럼?,나도 편해
나만안됨?,나도 안돼
나만이럼?,나도 그럼
나온사람?,어제신청하셨어요?
나온사람?,나
나온사람?,어제신청하셨어요?
나온사람?,예스
나온사람?,나! 어제 신청했어
날씨어때?,ㅇ
날씨어때?,ㄱㄴ
높은거니?,무슨 과젠데..??
높은거니?,공대 과젠데 의심문장 12개중에 3개가 출처야..
높은거니?,그러면 딱히 상관없을거 같은데..??!!
높은거니?,한자릿수 맞추는게 좋다고 하긴 하던데
높은거니?,헉 출처가 계속 잡아먹는데..
높은거니?,전공이 15퍼 표절률이면 좀 그렇죠..?
높은거니?,출처만 아니면 한자리수 나와요ㅠㅠ
높은거니?,그러면 딱히 상관없긴 해요!!
높은거니?,출처 빼면 8프로 입니다..!
높은거니?,not bad
높은거니?,교수님께서 출처는 빼고 해주시려나요..
